#eighty|h ˈæ ʃ ˈeɪ ɾ i
#three|h ˈæ ʃ θ ɹ ˈiː
&|ˈæ n d
'aferikaaweyaane|ɐ f ˈɛ ɹ ɪ k ˌɑː w aɪ  ˌɑː n
'afezaazhu|ɐ f ɪ z ˈɑː ʒ uː
'afeze|ɐ f ˈɛ z
'after|ˈæ f t ɚ
'afu|ɐ f ˈuː
'aga|ˈɑː ɡ ə
'agaa|ˈæ ɡ ɑː
'agaachwate|ˈæ ɡ ɑː tʃ w ˌeɪ t
'agaaletha|ˌæ ɡ ɑː l ˈɛ θ ə
'agaamaashe|ˌæ ɡ ɑː m ˈɑː ʃ
'agaaroce|æ ɡ ˈɑːɹ ɹ oʊ s
'agaathaami|ˈæ ɡ ɑː θ ˌɑː m i
'agaathe|ˈæ ɡ ɑː ð
'agachee|ˈæ ɡ ɐ ʃ ˌiː
'agachwa|ˈæ ɡ æ tʃ w ə
'agada|æ ɡ ˈɑː d ə
'agalaala|ˈæ ɡ ɐ l ˌɑː l ə
'agalaalatse|ˈæ ɡ ɐ l ˌɑː l æ t s i
'agalegelote|ˈæ ɡ eɪ l dʒ ˌɛ l oʊ t
'agalegelotoce|ˈæ ɡ eɪ l dʒ ˌɛ l ə t ˌoʊ s
'aganya|æ ɡ ˈæ n j ə
'aganyahu|ˌæ ɡ ɐ n ɪ  ˈɑː h uː
'aganyanawe|ˈæ ɡ ɐ n ɪ  ˌæ n ɔː
'aganyu|ˈæ ɡ ɐ n ɪ  ˌuː
'agaraacawe|ˈæ ɡ ɐ ɹ ˌɑː k ɔː
'agaraacene|ˈæ ɡ ɐ ɹ ˌɑː s iː n
'agaraate|ˈæ ɡ ɐ ɹ ˌɑː t
'agaraawi|ˈæ ɡ ɐ ɹ ˌɑː w i
'agare|ˈæ ɡ ɛɹ
'agaree|ˈæ ɡ ɐ ɹ ˌiː
'agareshe|æ ɡ ˈɛɹ ʃ
'agaritu|ˈæ ɡ ɑːɹ ɹ ˌɪ ɾ uː
'agaritune|ˈæ ɡ ɑːɹ ɹ ˌɪ t uː n
'agaroce|ˈæ ɡ ɐ ɹ ˌoʊ s
'agaru|ˈæ ɡ ɑːɹ ɹ ˌuː
'agarwa|ˈæ ɡ ɑːɹ w ə
'agazaaze|ˈæ ɡ ɐ z ˌɑː z
'agazaazu|ˌæ ɡ ɐ z ˈɑː z uː
'age|ˈeɪ dʒ
'agebaabe|ˈeɪ dʒ ɪ b ˌɑː b
'agebaabu|ˈeɪ dʒ ɪ b ˌɑː b uː
'agebe|ˈeɪ dʒ ɛ b
'agebeto|ˌeɪ dʒ ɪ b ˈiː ɾ oʊ
'agelegelote|ˈeɪ dʒ l ɪ dʒ ˌɛ l oʊ t
'agenyeta|ˈeɪ dʒ ə n ɪ  ˌɛ ɾ ə
'agenyetawe|ˈeɪ dʒ ə n ɪ  ˌɛ ɾ ɔː
'agenyeto|ˌeɪ dʒ ə n ɪ  ˈiː ɾ oʊ
'agu|ˈɑː ɡ uː
'aguramara|ˌæ ɡ j ʊɹ ɹ ɐ m ˈɑːɹ ɹ ə
'aguratharathu|ˌæ ɡ j ʊ ɹ ˌeɪ θ ɐ ɹ ˈæ θ uː
'agwaage|ˈæ ɡ w ɑː dʒ
'agwaagi|ˈæ ɡ w ɑː ɡ ˌaɪ
'agwaraabaace|ˈæ ɡ w ɔː ɹ ˌɑː b ɑː s
'ahaze|ˈæ h eɪ z
'aheguraate|ˈæ h ɪ ɡ j ˌʊɹ ɹ ɑː t
'aheguroce|ˈæ h ɪ ɡ j ˌʊɹ ɹ oʊ s
'ahelo|æ h ˈiː l oʊ
'ahemade|ˈæ h ɪ m ˌeɪ d
'aheyaa|ˈæ h aɪ  ˌɑː
'ahune|ˈæ h j uː n
'ahunu|æ h ˈuː n uː
'ajaabi|ˈæ dʒ ɑː b ˌaɪ
'ajaanese|ˌæ dʒ ɑː n ˈiː z
'ajamaama|ˈæ dʒ ɐ m ˌɑː m ə
'ajamaamaru|ˈæ dʒ ɐ m ˌɑː m ɑːɹ ɹ ˌuː
'ajanedaa|ˈæ dʒ eɪ n d ˌɑː
'ajipe|ˈæ dʒ aɪ p
'akaa|ˈæ k ɑː
'akaabaabi|ˈæ k ɑː b ˌɑː b aɪ
'akaabaabiwe|ˈæ k ɑː b ˌɑː b ɪ w
'akaabaabiwoce|ˌæ k ɑː b ɑː b ˈiː w oʊ s
'akaabaabiyaacawe|ˈæ k ɑː b ˌɑː b ɪ j ˌɑː k ɔː
'akaadaami|ˈæ k ɑː d ˌɑː m i
'akaafe|ˈæ k ɑː f
'akaaheedu|ˈæ k ɑː h ˌiː d uː
'akaahi|æ k ˈɑː h i
'akaahidawe|ˈæ k ɑː h ˌɪ d ɔː
'akaala|ˈæ k ɑː l ə
'akaalaate|ˈæ k ɑː l ˌɑː t
'akaale|ˈæ k ɑː l
'akaato|æ k ˈɑː ɾ oʊ
'akaawenete|ˈæ k ɑː w ˌɛ n iː t
'akanaawe|ˈæ k ɐ n ˌɑː w
'akaraa|ˈæ k ɐ ɹ ˌɑː
'ake|ˈeɪ k
'akebaari|eɪ k b ˈɑːɹ ɹ i
'akelawe|ˈeɪ k l ɔː
'akelilu|ˈeɪ k l ɪ l ˌuː
'akelo|æ k ˈiː l oʊ
'akeraariwoce|ˌæ k ɚ ɹ ˈɑːɹ ɹ ˈiː w oʊ s
'akesiyo|ˈeɪ k s ɪ j ˌoʊ
'akesume|ˈeɪ k s uː m
'akuraafi|ˈæ k j ʊɹ ɹ ˌɑː f i
'akuri|ˈæ k j ʊɹ ɹ i
'akwaaxwaane|ˈæ k w ɑː k s w ˌɑː n
'akwaayaa|ˈæ k w ɑː j ˌɑː
'ala|ɐ l ˈæ
'alaa|ɐ l ˈɑː
'alaaberaa|ɐ l ˈɑː b ɚ ɹ ˌɑː
'alaaganya|ɐ l ɑː ɡ ˈæ n j ə
'alaalame|ɐ l ˈɑː l eɪ m
'alaaleku|ɐ l ˈɑː l ɪ k ˌuː
'alaalu|ɐ l ˈɑː l uː
'alaamaa|ɐ l ˈɑː m ɑː
'alaamaacawe|ɐ l ˈɑː m ɑː k ˌɔː
'alaamaacene|ɐ l ˈɑː m ɑː s ˌiː n
'alaamaawe|ɐ l ˈɑː m ɑː w
'alaamaawoce|ɐ l ˈɑː m ɑː w ˌoʊ s
'alaamana|ɐ l ɑː m ˈɑː n ə
'alaamathaa|ɐ l ˈɑː m ɐ θ ˌɑː
'alaamudi|ɐ l ɑː m j ˈuː d i
'alaasecaa|ɐ l ˈɑː s ɪ k ˌɑː
'alaawa|ɐ l ˈɑː w ə
'alaaweqawe|ɐ l ˈɑː w ɪ k ˌɔː
'alaaweqe|ɐ l ˈɑː w ɛ k
'alaayahu|ɐ l ɑː j ˈɑː h uː
'alabalaziyaa|ˌæ l ə b ˈæ l ɐ z ˌɪ j ɑː
'alafa|ɐ l ˈɑː f ə
'alahu|ɐ l ˈɑː h uː
'alamaacene|ɐ l ˈæ m ɑː s ˌiː n
'alamaayahu|ɐ l ˌæ m ɑː j ˈɑː h uː
'alamagebaabaatoce|ɐ l ˈæ m eɪ dʒ b ˌɑː b ɑː t ˌoʊ s
'alamahonu|ɐ l ˈæ m ɐ h ˌɑː n uː
'alame|ɐ l ˈeɪ m
'alanyetaa|ɐ l ˈæ n ɪ  ˌɛ ɾ ɑː
'alaqaa|ɐ l ˈæ k ɑː
'alaqasu|ɐ l ɐ k ˈɑː s uː
'alaqoce|ɐ l ˈæ k oʊ s
'ale|ˈeɪ l
'ale'amudi|ɐ l ˌɛ ɐ m j ˈuː d i
'alebaa|ɐ l ˈɛ b ɑː
'alebaasaate|ɐ l ˈɛ b ɑː s ˌɑː t
'alebashere|ɐ l ˈɛ b æ ʃ ɚ
'alebeeregwa|ɐ l ɪ b ˈɪ ɹ ɛ ɡ w ə
'alecaala|ɐ l ˈɛ k ɑː l ə
'alecaalume|ɐ l ˈɛ k ɑː l ˌuː m
'alefo|ɐ l ˈiː f oʊ
'alegaa|ɐ l ˈɛ ɡ ɑː
'alejarese|ɐ l ˈɛ dʒ ɛɹ s
'alenabara|ɐ l ˌɛ n ɐ b ˈɑːɹ ɹ ə
'alenabare|ɐ l ˈɛ n ɐ b ˌɛɹ
'aleqara|ɐ l ɪ k ˈɑːɹ ɹ ə
'alesamaa|ɐ l ˈɛ s ɐ m ˌɑː
'alesatha|ɐ l ɪ s ˈæ θ ə
'aleta|ɐ l ˈɛ ɾ ə
'aletaa|ɐ l ˈɛ ɾ ɑː
'aletaawaqa|ɐ l ˌɛ ɾ ɑː w ˈɑː k ə
'aletacaala|ɐ l ˈɛ ɾ ɐ k ˌɑː l ə
'aletadaraga|ɐ l ˌɛ ɾ ɐ d ɐ ɹ ˈɑː ɡ ə
'aletajamarame|ɐ l ˈɛ ɾ ɐ dʒ ˌæ m æ ɹ ə m
'aletanaagare|ɐ l ˈɛ t ɐ n ˌɑː ɡ ɛɹ
'aletasaakaa|ɐ l ˈɛ ɾ ɐ s ˌɑː k ɑː
'aletasemaamaa|ɐ l ˈɛ ɾ eɪ s m ˌɑː m ɑː
'aletawa|ɐ l ɪ t ˈɑː w ə
'aletehade|ɐ l ˈɛ ɾ ɪ h ˌeɪ d
'ali|ˈɑː l i
'alignments|ɐ l ˈaɪ n m ə n t s
'aliteenaa|ɐ l ˈaɪ t iː n ˌɑː
'all|ˈɔː l
'almost|ˈɔː l m oʊ s t
'also|ˈɔː l s oʊ
'alt|ˈɑː l t
'although|ɔː l ð ˈoʊ
'alu|ɐ l ˈuː
'alubaaletaa|ɐ l ˈuː b ɑː l ˌɛ ɾ ɑː
'alutaawi|ɐ l ˈuː ɾ ɑː w i
'alute|ɐ l ˈuː t
'always|ˈɔː l w eɪ z
'am|ˈæ m
'amaa|ˈæ m ɑː
'amaakaa|ˈæ m ɑː k ˌɑː
'amaakaanyenate|ˈæ m ɑː k ˌɑː n ɪ  ˌɛ n eɪ t
'amaakaari|ˌæ m ɑː k ˈɑːɹ ɹ i
'amaakaayo|ˈæ m ɑː k ˌɑː j oʊ
'amaane|ˈæ m ɑː n
'amaani|ˈæ m ɑː n i
'amaaniyaane|ˈæ m ɑː n ˌɪ j ɑː n
'amaaraa|æ m ˈɑːɹ ɹ ɑː
'amaaraache|æ m ˈɑːɹ ɹ ɑː tʃ
'amaaraachoce|æ m ˈɑːɹ ɹ ɑː tʃ ˌoʊ s
'amaaraawe|æ m ˈɑːɹ ɹ ɑː w
'amaarenyaa|æ m ˈɑːɹ ɹ ə n ɪ  ˌɑː
'amaatare|ˈæ m ɑː t ˌɛɹ
'amaatseyaane|ˈæ m ɑː t s ˌaɪ  ɑː n
'amaatsi|ˈæ m ɑː t s i
'amaatsiyaane|ˈæ m ɑː t s ˌɪ j ɑː n
'amaci|ˈæ m ɐ s ˌaɪ
'amadaadabe|ˈæ m ɐ d ˌɑː d eɪ b
'amalakaaka|ɐ m ˈæ l ɐ k ˌɑː k ə
'amalakaakate|ɐ m ˈæ l ɐ k ˌɑː k eɪ t
'amalathu|ɐ m ɐ l ˈæ θ uː
'amalekaacu|ɐ m ˈeɪ l k ɑː k ˌuː
'amaleke|ɐ m ˈeɪ l k
'amaleketo|ɐ m eɪ l k ˈiː ɾ oʊ
'amaraare|ˌæ m ɐ ɹ ˈɑːɹ
'amaraaru|ˌæ m ɐ ɹ ˈɑːɹ ɹ uː
'amasage|ˈæ m æ s ɪ dʒ
'amataate|ˈæ m ɐ t ˌɑː t
'amataawi|ˈæ m ɐ t ˌɑː w i
'amate|ˈæ m eɪ t
'amatee|ˈæ m ɐ t ˌiː
'amathaa|ˈæ m ɐ θ ˌɑː
'amatse|ˈæ m æ t s i
'amatsu|æ m ˈæ t s uː
'amatu|æ m ˈɑː ɾ uː
'amazaanyu|ɐ m ˈeɪ z ɑː n ɪ  ˌuː
'ambri'|ˈæ m b ɹ i
'amebaa|ˈeɪ m b ɑː
'amebaaganane|ˈeɪ m b ɑː ɡ ˌæ n eɪ n
'amebaagananoce|ˈeɪ m b ɑː ɡ ˌæ n ɐ n ˌoʊ s
'amebaagwaaro|ˌeɪ m b ɑː ɡ w ˈɑːɹ ɹ oʊ
'amebaasaada|ˈeɪ m b ɑː s ˌɑː d ə
'amebaasaadare|ˈeɪ m b ɑː s ˌɑː d ɛɹ
'amebaasaadaroce|ˈeɪ m b ɑː s ˌɑː d ɐ ɹ ˌoʊ s
'amebaasaadaru|ˈeɪ m b ɑː s ˌɑː d ɑːɹ ɹ ˌuː
'amebulaanesoce|ˈeɪ m b j ʊ l ˌɑː n ɪ s ˌoʊ s
'amedanyo|ˈeɪ m d ɐ n ɪ  ˌoʊ
'amede|ˈeɪ m d
'amedoce|ˈeɪ m d oʊ s
'ameerikaa|æ m ˈɪ ɹ ɪ k ˌɑː
'ameerikaane|æ m ˈɪ ɹ ɪ k ˌɑː n
'ameerikaanoce|æ m ˈɪ ɹ ɪ k ˌɑː n oʊ s
'ameerikaanocu|æ m ˈɪ ɹ ɪ k ˌɑː n ə k ˌuː
'ameerikaawe|æ m ˈɪ ɹ ɪ k ˌɑː w
'ameerikaaweyaane|æ m ˈɪ ɹ ɪ k ˌɑː w aɪ  ˌɑː n
'ameerikaawi|æ m ˈɪ ɹ ɪ k ˌɑː w i
'ameha|ˈeɪ m h ə
'amelaake|ɐ m ˈiː l ɑː k
'ameleko|ɐ m iː l ˈiː k oʊ
'amenaalahu|ɐ m ˌɛ n ɑː l ˈɑː h uː
'amenaawe|ɐ m ˈɛ n ɑː w
'amenawe|ɐ m ˈɛ n ɔː
'ameno|ɐ m ˈiː n oʊ
'ameraace|ˈæ m ɚ ɹ ˌɑː s
'ameraacoce|ˈæ m ɚ ɹ ˌɑː k oʊ s
'amere|ˈæ m ɪɹ
'amererawe|ˈæ m ɚ ɹ ɚ ɹ ˌɔː
'ameri|ˈæ m ɚ ɹ i
'america's|ɐ m ˈɛ ɹ ɪ k ə z
'american|ɐ m ˈɛ ɹ ɪ k ə n
'amesetaacene|ˈeɪ m s ɪ t ˌɑː s iː n
'amesetanyaa|ˈeɪ m s ɪ t ˌæ n ɪ  ˌɑː
'amesetanyaawe|ˈeɪ m s ɪ t ˌæ n ɪ  ˌɑː w
'amesete|ˈeɪ m s iː t
'ametheta|ˈæ m ɪ θ ˌɛ ɾ ə
'ami|ˈɑː m i
'amokaacee|ˈæ m ə k ˌɑː s iː
'amoroso|ˌæ m oː ɹ ˈoʊ s oʊ
'amwale|ˈæ m w eɪ l
'amwamwa|ˈæ m w æ m w ə
'an|ˈæ n
'anaabesete|ˈæ n ɑː b ˌɛ s iː t
'anaaweqe|ˈæ n ɑː w ˌɛ k
'anagaagare|ˈæ n ɐ ɡ ˌɑː ɡ ɛɹ
'anagaagerwa|ˈæ n ɐ ɡ ˌɑː ɡ ɚ w ə
'anasaashenate|ˈæ n ɐ s ˌɑː ʃ ə n ˌeɪ t
'anasetanyaa|ˈæ n ɐ s ˌɛ t ɐ n ɪ  ˌɑː
'anathaa|ɐ n ˈæ θ ɑː
'and|ˈæ n d
'ane|ˈeɪ n
'anebaabi|ˈeɪ n b ɑː b ˌaɪ
'anebaabiyaane|ˈeɪ n b ɑː b ˌɪ j ɑː n
'anebasaa|ˈeɪ n b ɐ s ˌɑː
'anebasaawe|ˈeɪ n b ɐ s ˌɑː w
'anecele|ˈeɪ n s ɛ l
'aneci|ˈeɪ n s aɪ
'aneda|ˈeɪ n d ə
'anedaace|ˈeɪ n d ɑː s
'anedaanede|ˈeɪ n d ɑː n ˌɛ d
'anedaanedoce|ˈeɪ n d ɑː n ˌɛ d oʊ s
'anedaanedocu|ˈeɪ n d ɑː n ˌɛ d ə k ˌuː
'anedaanedu|ˈeɪ n d ɑː n ˌɛ d uː
'anedanyaa|ˈeɪ n d ɐ n ɪ  ˌɑː
'anedanyaawe|ˈeɪ n d ɐ n ɪ  ˌɑː w
'anede|ˈeɪ n d
'anedee|ˈeɪ n d iː
'anedenataacene|ˈeɪ n d ə n ˌæ ɾ ɑː s ˌiː n
'anedenate|ˈeɪ n d ə n ˌeɪ t
'anedi|ˈeɪ n d i
'anedite|ˈeɪ n d aɪ t
'anedu|ˈeɪ n d uː
'anedwa|ˈeɪ n d w ə
'aneelekaa|ˈæ n iː l ˌɛ k ɑː
'anefilede|ˈeɪ n f aɪ l d
'anegaafaawe|ˈeɪ ŋ ɡ ɑː f ˌɑː w
'anegate|ˈeɪ ŋ ɡ eɪ t
'anegwalaa|ˈeɪ ŋ ɡ w ɐ l ˌɑː
'aneja|ˈeɪ n dʒ ə
'anejaa|ˈeɪ n dʒ ɑː
'anejaawe|ˈeɪ n dʒ ɑː w
'anejaawoce|ˈeɪ n dʒ ɑː w ˌoʊ s
'anekwaa|ˈeɪ ŋ k w ɑː
'anemi|ɐ n ˈiː m i
'aneqatse|ˈeɪ ŋ k æ t s i
'aneqatsu|eɪ ŋ k ˈæ t s uː
'aneseta|ˈæ n ɪ s ˌɛ ɾ ə
'anesetawe|ˈæ n ɪ s ˌɛ ɾ ɔː
'aneseto|ˌæ n ɪ s ˈiː ɾ oʊ
'aneta|ˈæ n ɛ ɾ ə
'aneteraakese|ˈæ n ɪ ɾ ɚ ɹ ˌɑː k iː z
'aneto|æ n ˈiː ɾ oʊ
'anetoni|ˌæ n ɪ t ˈoʊ n i
'anetoniyo|ˈæ n ɪ t ˌɑː n ɪ j ˌoʊ
'anetonove|ˈæ n ɪ t ˌɑː n oʊ v
'anetsaaraawi|ˌæ n ɪ t s ˈɑːɹ ɹ ɑː w i
'anetsaare|ˌæ n ɪ t s ˈɑːɹ
'anetsaaru|ˌæ n ɪ t s ˈɑːɹ ɹ uː
'anewaare|eɪ n w ˈɑːɹ
'angry'|ˈæ ŋ ɡ ɹ i
'anointed|ɐ n ˈɔɪ n t ᵻ d
'anyewaake|ˈɛ n ɪ j ˌuː ɑː k
'ape|ˈeɪ p
'appear|ɐ p ˈɪɹ
'appy|ˈæ p i
'aqa|ˈɑː k ə
'aqaa|ˈæ k ɑː
'aqaabee|ˈæ k ɑː b ˌiː
'aqaathalu|ˌæ k ɑː θ ˈɑː l uː
'aqaathelawaa|ˈæ k ɑː θ ˌɛ l ɐ w ˌɑː
'aqaba|æ k ˈɑː b ə
'aqabaabale|ˈæ k ɐ b ˌɑː b eɪ l
'aqabaaye|ˈæ k ɐ b ˌɑː aɪ
'aqabaayo|ˈæ k ɐ b ˌɑː j oʊ
'aqafe|ˈæ k eɪ f
'aqamaamathe|ˈæ k ɐ m ˌɑː m eɪ ð
'aqaneqaanye|ˈæ k eɪ ŋ k ˌɑː n aɪ
'aqaneqaanyoce|ˈæ k eɪ ŋ k ˌɑː n ɪ  ˌoʊ s
